Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
19695;REGISTRO CHUVEIRO 25MM;UN;MATERIAL MANUTENCAO;;;;;;
19696;CAIXA PAPELAO PITAYA FOODS PURO FS 315 X 295 X 125 MM 6KG;UN;EMBALAGEM;;;;;;
19699;BLUSA TRABALHO INFANTIL MARGENTA 06 ANOS;UN;MATERIAL MARKETING;;;;;;
19700;BLUSA TRABALHO INFANTIL MARGENTA 08 ANOS;UN;MATERIAL MARKETING;;;;;;
19701;BLUSA TRABALHO INFANTIL MARGENTA 10 ANOS;UN;MATERIAL MARKETING;;;;;;
19703;CAJU PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
19711;ACAI BLANK CLA12 SR OPCA 1KG CX20 EX;CX;P.A. ACAI EXPORT;;;;;;
19745;VENEZIANA PLASTICA P/ VENTILADOR FILTRO 200MM;UN;MATERIAL MANUTENCAO;;;;;;
19749;UNIDADE CAPACITIVA TRIFASICA 20KVAR 380V;UN;MATERIAL MANUTENCAO;;;;;;
19752;CONTACTOR CWBC 32A;UN;MATERIAL MANUTENCAO;;;;;;
19756;ACAI PETRUZ LIO SR OPCA 1KG EX;KG;PRODUTO ELABORACAO;;;;;;
19757;ACAI PETRUZ LIO SR OPSA 1KG EX;KG;PRODUTO ELABORACAO;;;;;;
19764;ACAI KAIKRO PUR22 SR CPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
19767;BASE CONVENCIONAL KAIKRO PUR22 TB EX;KG;SEMI ELABORADO;;;;;;
19789;CALDO RAPPAPORT E VASSILIADIS (RVS) 500 G;UN;MATERIAL LABORATORIO;;;;;;
19791;RIBBON PRETO COMP LONGO ULTRA 110X700M;UN;MATERIAL MANUTENCAO;;;;;;
19792;TINTA PRETA VJ2340/2351/2361 175ML M512;UN;MATERIAL MANUTENCAO;;;;;;
19794;CALDO DEMI-FRASER 500G;UN;MATERIAL LABORATORIO;;;;;;
19801;SACO RAFIA ACAI PETRUZ FINO 650 X 900 MM 40KG;UN;EMBALAGEM;;;;;;
19802;SACO RAFIA ACAI PETRUZ MEDIO 650 X 900 MM 40KG;UN;EMBALAGEM;;;;;;
19803;SACO RAFIA ACAI PETRUZ ESPECIAL 650 X 900 MM 40KG;UN;EMBALAGEM;;;;;;
19816;ACAI EBBA CLA12 SR OPCAO 180KG TB;TB;P.A. ACAI;;;;;;
19817;ACAI EBBA CLA12 SR ONCAO 170KG TB;TB;P.A. ACAI;;;;;;
19827;ACAI PELLET PETRUZ CLA12 SR OPCA 5KG EX;CX;P.A. ACAI EXPORT;;;;;;
19866;ACAI TROPICAL MARIA CLA12 SR CPSA 100G CX100 EX;CX;P.A. ACAI EXPORT;;;;;;
19867;SENSOR BMF 235K-PS-C-2A-PU-02 PNP;UN;MATERIAL MANUTENCAO;;;;;;
19879;POTE ACAI IB COMPANY BANANA 500G;UN;EMBALAGEM;;;;;;
19881;POTE ACAI IB COMPANY MORANGO 500G;UN;EMBALAGEM;;;;;;
19882;POTE ACAI IB COMPANY MORANGO 200G;UN;EMBALAGEM;;;;;;
19883;POTE ACAI IB COMPANY GUARANA 500G;UN;EMBALAGEM;;;;;;
19915;CAIXA MIX ALMALIBRE GUARANA 5L;UN;EMBALAGEM;;;;;;
19916;CAIXA MIX ALMALIBRE GUARANA FS 5L;UN;EMBALAGEM;;;;;;
19925;TESTE PED ACAI PETRUZ BAN27 SR CNCA 2,9KG BD EX;BD;PESQUISA E DESENV.;;;;;;
19926;ACAI TROPICAL MARIA CLA12 SR CPSA 100G EX;UN;PRODUTO ELABORACAO;;;;;;
19931;ACAI SAO PEDRO CLA12 SR OPCL 5KG CX4;CX;P.A. ACAI;;;;;;
19932;ACAI SAO PEDRO CLA12 SR OPCL 5KG;UN;PRODUTO ELABORACAO;;;;;;
19942;TESTE PED ACAI SO GOOD MOR27 SR CPCA 200G;KG;PESQUISA E DESENV.;;;;;;
19946;POLIA 300MM 2B;UN;MATERIAL MANUTENCAO;;;;;;
19955;TAMPA TRANSPARENTE COPOS FEIRAS;UN;MATERIAL MARKETING;;;;;;
19957;ALGODAO HIDROFOBO;UN;MATERIAL LABORATORIO;;;;;;
19960;ACAI PETRUZ IACA GUA23 SR CPCA 3,5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
19961;BASE CONVENCIONAL PETRUZ IACA GUA23 TB EX;KG;SEMI ELABORADO;;;;;;
19963;ACAI BLANK EBBA CLA12 SR OPCA 1KG CX6;CX;P.A. ACAI;;;;;;
19964;ACAI BLANK EBBA CLA12 SR OPCA 1KG;KG;PRODUTO ELABORACAO;;;;;;
19970;FILME ACAI TROPICAL MARIA MEDIO PET APEX 100G;KG;EMBALAGEM;;;;;;
19973;ALCA PREFORMADA CABO 16MM;UN;MATERIAL MANUTENCAO;;;;;;
19981;ACAI REPROCESSO MONTONE GUA26 SR CPCA BD;KG;REPROCESSO;;;;;;
19982;ACAI REPROCESSO MONTONE GUA26 SR CPCA TB;KG;REPROCESSO;;;;;;
19989;ACAI SAO PEDRO STA8 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
19991;ACAI PELLET SAMBAZON PURO SR OPCA 8G 340G CX9;CX;P.A. ACAI;;;;;;
19992;ACAI GUARANA PELLET SAMBAZON ORIGINAL SR OPCA 8G 340G CX9;CX;P.A. BEBIDA MISTA;;;;;;
19997;BOBINA 220V RAC;UN;MATERIAL MANUTENCAO;;;;;;
20006;SENSOR INTUTIVO SENSE PS5-18GI50-W3A 90/250VAC 500MA;UN;MATERIAL MANUTENCAO;;;;;;
20007;ACUCAR CRISTAL SAMBAZON ORGANICO;KG;INSUMOS DIRETOS;;;;;;
20008;LECITINA GIRASSOL SAMBAZON;KG;INSUMOS DIRETOS;;;;;;
20009;EXTRATO GUARANA SAMBAZON ORGANICO;KG;INSUMOS DIRETOS;;;;;;
20010;ACIDO CITRICO SAMBAZON;KG;INSUMOS DIRETOS;;;;;;
20011;ACAI SAMBAZON CLA12 SR OPCA 180KG TB;KG;P.A. ACAI;;;;;;
20012;CAIXA SAMBAZON PELLET GUARANA 365 X 165 X 210MM;UN;EMBALAGEM;;;;;;
20013;CAIXA SAMBAZON PELLET PURO 365 X 165 X 210MM;UN;EMBALAGEM;;;;;;
20014;SACO SAMBAZON PELLET PURO 205 X 185 X 80MM;UN;EMBALAGEM;;;;;;
20015;SACO SAMBAZON PELLET GUARANA 205 X 185 X 80MM;UN;EMBALAGEM;;;;;;
20020;ACAI PELLET AMAZONIA PTY STA10 SR OPCA 4G EX;KG;SEMI ELABORADO;;;;;;
20022;ACAI ASPB BLANK CLA12 SR CPCA 1KG;KG;PRODUTO ELABORACAO;;;;;;
20025;ESTANTES 40 TUBOS ENSAIO ARAME REVESTIDO PVC;UN;MATERIAL LABORATORIO;;;;;;
20026;ROLAMENTO 626ZZ;UN;MATERIAL MANUTENCAO;;;;;;
20039;ACAI PELLET SAMBAZON CLA12 SR OPCA 8G;KG;PRODUTO ELABORACAO;;;;;;
20040;ACAI GUARANA PELLET SAMBAZON CLA18 SR OPCA 8G;KG;PRODUTO ELABORACAO;;;;;;
20045;XAROPE GUARANA PETRUZ ORGANICO 18KG BD EX;BD;SEMI ELABORADO;;;;;;
20047;OCULOS SOLDA ESAB;UN;MATERIAL MANUTENCAO;;;;;;
20053;SACO ACAI SEIJO ISHII ORGANICO JAS PREMIUM 400G;UN;EMBALAGEM;;;;;;
20054;ACAI SEIJO ISHII PRE14 SR OPCA JAS 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
20057;ACAI SEIJO ISHII PRE14 SR OPCA JAS 100G EX;UND;PRODUTO ELABORACAO;;;;;;
20058;REPARO REG CHUVEIRO-ACABA.TIGRE CB KIT;UN;MATERIAL MANUTENCAO;;;;;;
20059;FILME ACAI SEIJO ISHII ORGANICO JAS PREMIUM PET APEX DUPLO 100G;KG;EMBALAGEM;;;;;;
20062;ACAI ROSE & RAMBLE GUA23 SR CPCA CX 5KG EX;CX;P.A. ACAI EXPORT;;;;;;
20085;ACAI TROPICAL MARIA CLA12 SR OPSA 100G CX100 EX;CX;P.A. ACAI EXPORT;;;;;;
20086;ACAI TROPICAL MARIA CLA12 SR OPSA JAS 100G CX100 EX;CX;P.A. ACAI EXPORT;;;;;;
20087;ACAI TROPICAL MARIA CLA12 SR OPSA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
20088;ACAI TROPICAL MARIA CLA12 SR OPSA JAS 100G EX;UND;PRODUTO ELABORACAO;;;;;;
20089;REPROCESSO ACAI PELLET SAMBAZON CLA12 SR OPCA TB;KG;REPROCESSO;;;;;;
20090;REPROCESSO ACAI PELLET SAMBAZON CLA12 SR OPCA BD;KG;REPROCESSO;;;;;;
20096;PERFIL L 240X40MM EXTERNO;UN;MATERIAL MANUTENCAO;;;;;;
20097;BLUSA TASTE THE AMAZON PP ROXA;UN;MATERIAL MARKETING;;;;;;
20098;BLUSA TASTE THE AMAZON P ROXA;UN;MATERIAL MARKETING;;;;;;
20099;BLUSA TASTE THE AMAZON M ROXA;UN;MATERIAL MARKETING;;;;;;
20100;BLUSA TASTE THE AMAZON G ROXA;UN;MATERIAL MARKETING;;;;;;
20101;BLUSA TASTE THE AMAZON GG ROXA;UN;MATERIAL MARKETING;;;;;;
20104;TESTE PED XAROPE CAMTA OPCA 1L;KG;PESQUISA E DESENV.;;;;;;
20106;CALDA ACAI NECTAR FRUITS EAU PUR22 SR CPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
20110;LAMINA RASPADORA ACO INOX 595 SF1500 - 5970982-0042;UN;MATERIAL MANUTENCAO;;;;;;
20119;VALVULA PNEUMATICA GATILHO L-3-MS 3X2;UN;MATERIAL MANUTENCAO;;;;;;
20124;ACAI BGAN CLA12 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
20125;ACAI BODEK CLA12 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
20126;ACAI ADOCADO BODEK PRE24 SR OPCA 400G CX15 EX;CX;P.A. B MISTA EXPORT;;;;;;
20130;REPROCESSO ACAI GUARANA PELLET SAMBAZON CLA18 SR OPCA BD;KG;REPROCESSO;;;;;;
20132;JOGO FACAS SELADORA SOTI DTM2000;UN;MATERIAL MANUTENCAO;;;;;;
20134;BALDE REDONDO AMAZONIA PTY AUS 12L;UN;EMBALAGEM;;;;;;
20137;ENGRENAGEM ESTEIRA RD10 E50FQ 40MM;UN;MATERIAL MANUTENCAO;;;;;;
20143;SACO ACAI MEDIO BGAN 400G;UN;EMBALAGEM;;;;;;
20144;SACO ACAI MEDIO BODEK 400G;UN;EMBALAGEM;;;;;;
20145;SACO ACAI ADOCADO BODEK 400G;UN;EMBALAGEM;;;;;;
20148;ACAI ADOCADO BLANK PRE24 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
20153;FILTRO AR SERIE AX;UN;MATERIAL MANUTENCAO;;;;;;
20162;COLAR HAVAIANO;UN;FESTAS EVENTOS;;;;;;
20171;"VALVULA EXPANSAO ELETRONICA PULSADA 3/8""X1/2"" C/ ORIF 08 + EEVMC + 4 SENSORES";UN;MATERIAL MANUTENCAO;;;;;;
20185;ETIQUETA ADESIVA BR BIO 26 MM X 23 MM;UN;EMBALAGEM;;;;;;
20202;RESISTENCIA 770-00142;UN;MATERIAL MANUTENCAO;;;;;;
20208;TESTE PED ACAI SUPERFRUIT GUA23 SR CNCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
20213;RIBBON BRANCO DA TTO 6530 CABECA 107;UN;MATERIAL MANUTENCAO;;;;;;
20214;AMOSTRA ACAI GUARANA PELLET SAMBAZON ORIGINAL SR OPCA 200G;UN;AMOSTRAS;;;;;;
20215;RIBBON BRANCO 33X500 TTO VJ6230;UN;MATERIAL MANUTENCAO;;;;;;
20235;SENSOR PROXIMIDADE SIEH-M12B-NS-K-L;UN;MATERIAL MANUTENCAO;;;;;;
20239;TESTE PED ACAI REBAR PUR30 SR CPCA 5KG CX EX;KG;PESQUISA E DESENV.;;;;;;
20265;CORANTE CARMIM ROXO ACAI;KG;INSUMOS DIRETOS;;;;;;
20275;FITA PP DBA 09X0,55 MM 4000M;UN;MATERIAL MANUTENCAO;;;;;;
20283;KIT TECLADO MOUSE COM FIO;UN;MATERIAL INFORMATICA;;;;;;
20290;BATERIA NOBREAK RELOGIO PONTO;UN;MATERIAL INFORMATICA;;;;;;
20291;ROTOR NDB 4989356;UN;MATERIAL MANUTENCAO;;;;;;
20292;EIXO ACOPLAMENTO NDB 4983920;UN;MATERIAL MANUTENCAO;;;;;;
20294;ANEL O NMP 5078153;UN;MATERIAL MANUTENCAO;;;;;;
20297;ANEL VEDACAO 003414;UN;MATERIAL MANUTENCAO;;;;;;
20304;CAIXA PAPELAO SAMBAZON SEM IMPRESSAO;UN;EMBALAGEM;;;;;;
20310;MANGUEIRA SAIDA AFTERCO. GA11;UN;MATERIAL MANUTENCAO;;;;;;
20311;MANGUEIRA L = 480 M22X1,5 X M2;UN;MATERIAL MANUTENCAO;;;;;;
20316;ROTOR THEBE PX-15N BR 145MM FURO 19MM;UN;MATERIAL MANUTENCAO;;;;;;
20318;CALDA ACAI PALETTE FRUITY PUR22 SR CPCA 2,9KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
20324;TECRYL SELATRINCA SELACLHA BCO 500GR;UN;MATERIAL CONSTRUCAO;;;;;;
20341;TESTE PED ACAI SUPERFRUIT GUA27 SR ONCA 100G EX;UND;PESQUISA E DESENV.;;;;;;
20354;CABO WEG HMI SSW07 C/2M;PC;MATERIAL MANUTENCAO;;;;;;
20356;ETIQUETA ADESIVA SUPERFRUITS SORBET 2,9KG;UN;EMBALAGEM;;;;;;
20357;TESTE PED ACAI PELLET BLANK CLA12 SR OPCA 8G 1KG EX;KG;PESQUISA E DESENV.;;;;;;
20360;ACAI PELLET PETRUZ CLA12 SR OPCA 8G 4,5KG EX;CX;PRODUTO ELABORACAO;;;;;;
20363;FACA SERRA;UN;COPA COZINHA;;;;;;
20365;BARBANTE ALGODAO;UN;MATERIAL MANUTENCAO;;;;;;
20379;ACAI ORGANIC MAKAI ACAI CUBES 4,5KG CX 9KG;CX;P.A. ACAI;;;;;;
20380;"MANGUEIRA TRANCADA ALIMENTICIA 2""";UN;MATERIAL MANUTENCAO;;;;;;
20387;ACAI PETRUZ CLA11 SR CNSA 18KG BD;BD;P.A. ACAI;;;;;;
20392;SWAB CLEAN TRACE SUPERFICIE ATP UN;UN;MATERIAL LABORATORIO;;;;;;
20393;SWAB CLEAN TRACE AGUA TOTAL ATP UN;UN;MATERIAL LABORATORIO;;;;;;
20394;PETRIFILM AC CONT TOT BACT UN;UN;MATERIAL LABORATORIO;;;;;;
20395;PETRIFILM EC CONT COLIF E.COLI UN;UN;MATERIAL LABORATORIO;;;;;;
20396;PETRIFILM EB CONT ENTEROBACT UN;UN;MATERIAL LABORATORIO;;;;;;
20397;PETRIFILM RYM CONT BOL E LEVED RAPIDO UN;UN;MATERIAL LABORATORIO;;;;;;
20406;LOG FEE;UN;SERVICOS GERAIS;;;;;;
20410;PARAFUSO SEXTAVADO M6X20MM COBREADO;UN;MATERIAL MANUTENCAO;;;;;;
20412;ARRUELA M6 COBREADA;UN;MATERIAL MANUTENCAO;;;;;;
20421;COLA TUDO INCOLOR 50G;UN;MATERIAL USO CONSUMO;;;;;;
20422;ADESIVO INSTANTANEO 100G;UN;MATERIAL USO CONSUMO;;;;;;
20423;SILICONE NEUTRO PREMIUM  370G;UN;MATERIAL USO CONSUMO;;;;;;
20424;SILICONE ACETICO BASIC 269G;UN;MATERIAL USO CONSUMO;;;;;;
20426;SEALING SERVICE EXPORT;UN;SERVICOS GERAIS;;;;;;
20429;10% C02 REDUCTION;UN;SERVICOS GERAIS;;;;;;
20438;ACAI SAMBAZON CLA12 SR OPCA 17,5 KG BD;KG;P.A. ACAI;;;;;;
20441;DISCO CORTE TS 420 350MM;UN;MATERIAL MANUTENCAO;;;;;;
20449;ETIQUETA ADESIVA ACAI TROPICAL MARIA BAG 500G;UN;EMBALAGEM;;;;;;
20452;PRATO AMOSTRA PARA ANALISADOR DESCARTAVEL PRIX;UN;MATERIAL LABORATORIO;;;;;;
20462;SACO ACAI TROPICAL MARIA ATM  500G;UN;EMBALAGEM;;;;;;
20475;CBC;UN;SERVICOS GERAIS;;;;;;
20480;VALVULA CONTROLE PNEUMATICA Q22HD-20;UN;MATERIAL MANUTENCAO;;;;;;
20484;LONGARINAS AGUIA C/2,30 DE COMPRIMENTO P/1000 KG;UN;MATERIAL MANUTENCAO;;;;;;
20489;GOMA GUAR CONVENCIONAL AMAZON PLANET 25KG;KG;INSUMOS DIRETOS;;;;;;
20490;LBG CONVENCIONAL AMAZON PLANET 25KG;KG;INSUMOS DIRETOS;;;;;;
20492;CONECTOR TE 1/8;UN;MATERIAL MANUTENCAO;;;;;;
20499;"APOIO INTERMEDIARIO NM045-12 """"A"""" 1020""";UN;MATERIAL MANUTENCAO;;;;;;
20501;BUCHA FIXACAO H308;UN;MATERIAL MANUTENCAO;;;;;;
20507;SENSOR MAGNETICO FESTO SME-8-S-LED-24V;UN;MATERIAL MANUTENCAO;;;;;;
20508;POLIA B2 180;UN;MATERIAL MANUTENCAO;;;;;;
20512;ASSEMBLY ADAPTADOR;UN;MATERIAL MANUTENCAO;;;;;;
20513;ANEL O'RING 264X3;UN;MATERIAL MANUTENCAO;;;;;;
20520;DESODORANTE ROLL ON 50 ML;UN;MATERIAL USO CONSUMO;;;;;;
20522;BUCHA NYLON 8MM C/ ANEL;UN;MATERIAL MANUTENCAO;;;;;;
20537;ACIDO CITRICO BGAN E BODEK;KG;INSUMOS DIRETOS;;;;;;
20538;ACUCAR ORGANICO BGAN E BODEK;KG;INSUMOS DIRETOS;;;;;;
20540;ACAI BODEK BLANK CLA12 SR OPCA 100G EX;UN;PRODUTO ELABORACAO;;;;;;
20541;ACAI BGAN BLANK CLA12 SR OPCA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
20545;GLICOSE BODEK ORGANICO TB;KG;SEMI ELABORADO;;;;;;
20546;ACAI SANTA HELENA PUR26 R3 CPSA 10KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
20547;BASE PADRAO CONVECIONAL SANTA HELENA TB EX;KG;SEMI ELABORADO;;;;;;
20548;BLUSAO TERMICO FRIGORIFICO AZUL XG;UN;SESMT;;;;;;
20563;"MACHO SMS INOX 304 2""";UN;MATERIAL MANUTENCAO;;;;;;
20566;ACAI BLANK EBBA CLA12 SR OPCA 100G CX60;CX;P.A. ACAI;;;;;;
20567;ACAI BLANK EBBA CLA12 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
20586;"TUBO COBRE FLEXIVEL 1"" 1/8 150mm";UN;MATERIAL MANUTENCAO;;;;;;
20587;ARCO SERRA ISOLADO VDE GEDORE 12;UN;MATERIAL MANUTENCAO;;;;;;
20591;MARCADORES DE CHAVES;UN;SESMT;;;;;;
20595;CURVA ELETROCALHA VERTICAL EXTERNA 50 X 50 90°;UN;MATERIAL MANUTENCAO;;;;;;
20596;CURVA PLANA VERTICAL 50X50 90°;UN;MATERIAL MANUTENCAO;;;;;;
20597;ESPIGAO 1/4 X 1/4 LATAO;UN;MATERIAL MANUTENCAO;;;;;;
20603;RETENTOR 30X42X7;UN;MATERIAL MANUTENCAO;;;;;;
20609;CABO SENSOR NEBU-M12 RETO 3M (S23-5M);UN;MATERIAL MANUTENCAO;;;;;;
20617;ACAI AGRO FRESH CLA12 SR OPCA 5KG EX;UND;PRODUTO ELABORACAO;;;;;;
20619;ACAI GUARANA AGRO FRESH CLA18 SR OPCA 5KG EX;UND;PRODUTO ELABORACAO;;;;;;
20620;ETIQUETA ADESIVA ACAI GUARANA AGRO FRESH 5KG;UN;EMBALAGEM;;;;;;
20621;ETIQUETA ADESIVA ACAI MEDIO AGRO FRESH 5KG;UN;EMBALAGEM;;;;;;
20623;ACAI TROPICAL MARIA GUA27 SR CPCA 100G CX30 EX;CX;P.A. SORBET EXPORT;;;;;;
20624;POTE PAPEL ACAI TROPICAL MARIA 100G;UN;P.A. SORBET EXPORT;;;;;;
20625;TE SOLDAVEL 25MM 3/4;UN;MATERIAL MANUTENCAO;;;;;;
20629;CATÁLOGO DE PRODUTOS ESPANHOL;UN;MATERIAL MARKETING;;;;;;
20630;CATÁLOGO DE PRODUTOS INGLÊS;UN;MATERIAL MARKETING;;;;;;
20631;CATÁLOGO DE PRODUTOS PORTUGUÊS;UN;MATERIAL MARKETING;;;;;;
20632;BUCHA SCHNEIDER SELO 1 1/4X60MM;UN;MATERIAL MANUTENCAO;;;;;;
20639;ESCOVA DE NYLON P/ TUBULACAO;UN;MATERIAL LIMPEZA;;;;;;
20647;LAVA GARRAFA SINTETICO 60MMX380MM C/CABO PLAST. SHAGRILA;UN;MATERIAL LIMPEZA;;;;;;
20649;CONECTOR P4 P/ STARLINK MINI 12v/24v;UN;MATERIAL INFORMATICA;;;;;;
20650;ACAI SAFCO GUA27 SR CPCA 3,2KG CX3 EX;CX;P.A. SORBET EXPORT;;;;;;
20654;FOLHA JUNTA PAPELAO AMIANTO MOTOR 1.5MM;UN;MATERIAL MANUTENCAO;;;;;;
20659;ACAI CORACAI CLA12 SR OPCA 5KG CX4 EX;CX;P.A. ACAI EXPORT;;;;;;
20674;ACAI SAMHWA GUA27 SR CPCA 5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
20680;LIXA FERRO 1000MM;UN;MATERIAL CONSTRUCAO;;;;;;
20681;TINTA ESMALTE SINTETICO AUTOMOTIVO LARANJA 3,6L;UN;MATERIAL CONSTRUCAO;;;;;;
20682;TINTA ESMALTE SINTETICO AUTOMOTIVO CHUMBO 3,6L;UN;MATERIAL CONSTRUCAO;;;;;;
20684;OLEO LUBRIFICANTE 5W-30;UN;MATERIAL MANUTENCAO;;;;;;
20687;DESPESAS DE DESEMBARAÇO;UN;SERVICOS GERAIS;;;;;;
20689;TERMINAL OLHAL 3/8 C/FURO FIO 10MM;UN;MATERIAL MANUTENCAO;;;;;;
20697;ACAI PETRUZ SCOOP BOWL PUR20 SR CPCA 10KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
20698;ACAI PETRUZ BANMOR27 SR CPCA 5KG CX EX;UND;P.A. SORBET EXPORT;;;;;;
20699;"MANOMETRO INOX VISOR 100MM 0 A 150KGF/CM2 TIPO RETO GLI 1"" TC";UN;MATERIAL MANUTENCAO;;;;;;
20701;BASE CONVENCIONAL SCOOP BOWL PUR20 TB EX;KG;SEMI ELABORADO;;;;;;
20702;ACAI PETRUZ GUA27 SR OPCA 3,5KG CX EX;CX;P.A. SORBET EXPORT;;;;;;
20703;ACAI ALMALIBRE GUA27 SR OPCA 10KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
20706;TERMINAL SINDOW 4MM;UN;MATERIAL MANUTENCAO;;;;;;
20707;TERMINAL SINDOW 6MM;UN;MATERIAL MANUTENCAO;;;;;;
20711;TUBO TOP FUSION 50MM;UN;MATERIAL MANUTENCAO;;;;;;
20712;TUBO TOP FUSION 40MM;UN;MATERIAL MANUTENCAO;;;;;;
20713;LUVA TOP FUSION 50MM-ST;UN;MATERIAL MANUTENCAO;;;;;;
20714;JOELHO 90 FUSION 50MM -ST;UN;MATERIAL MANUTENCAO;;;;;;
20715;TEE FUSION 50 (AC);UN;MATERIAL MANUTENCAO;;;;;;
20716;REGISTRO ESFERA TOP FUSION 50MM -ST;UN;MATERIAL MANUTENCAO;;;;;;
20717;REGISTRO ESFERA TOP FUSION 32MM;UN;MATERIAL MANUTENCAO;;;;;;
20718;CAP 50MM FUSION;UN;MATERIAL MANUTENCAO;;;;;;
20719;BUCHA REDUCAO 63X50 TOP FUSION;UN;MATERIAL MANUTENCAO;;;;;;
20720;TUBO TOP FUSION 32MM;UN;MATERIAL MANUTENCAO;;;;;;
20721;ABRACADEIRA NYLON PRETA 7,5X500 LOTUS;UN;MATERIAL MANUTENCAO;;;;;;
20722;LUVA TOP FUSION 40MM -ST;UN;MATERIAL MANUTENCAO;;;;;;
20723;JOELHO 90 FUSION 40MM -ST;UN;MATERIAL MANUTENCAO;;;;;;
20724;TEE FUSION 32MM;UN;MATERIAL MANUTENCAO;;;;;;
20728;RESISTENCIA MIPAL  NUCLEO 1600W 220V 5M PONTA SILICONE;UN;MATERIAL MANUTENCAO;;;;;;
20731;REPROCESSO ACAI PETRUZ SCOOP BOWL PUR20 SR CPCA TB;KG;REPROCESSO;;;;;;
20738;PERFIL U 40 X 100 X 40 EXT;UN;MATERIAL MANUTENCAO;;;;;;
20751;SELO MECANICO M377 G4/35L - MOLA ESQUERDA;UN;MATERIAL MANUTENCAO;;;;;;
20756;RAC;UN;SERVICOS GERAIS;;;;;;
20776;ACAI SUPERANTE BEBIDA DE FRUTA 1,002 KG;UN;P.A. ACAI;;;;;;
20777;VALVULA PAINEL FRONTAL SV-3-M5 6817;UN;MATERIAL MANUTENCAO;;;;;;
20778;ACAI SUPERANTE BEBIDA DE FRUTA 1,002KG SC40;SC;P.A. ACAI;;;;;;
20779;FOLHA JUNTA PAPELAO 1.5MM;UN;MATERIAL MANUTENCAO;;;;;;
20782;KIT CONSUMIVEIS PLASMA POWERMAX 45XP;UN;MATERIAL MANUTENCAO;;;;;;
20783;TUBO ESPIRALADO INOX 1 1/2;UN;MATERIAL MANUTENCAO;;;;;;
20787;ACAI TROPICAL MARIA CST GUA27 SR CPCA 800G CX8 EX;CX;P.A. SORBET EXPORT;;;;;;
20789;ACAI TROPICAL MARIA CST GUA27 SR CPCA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
20790;CAIXA PAPELAO TROPICAL MARIA CST 195 X 190 X 98 MM 800G;UN;EMBALAGEM;;;;;;
20791;CAIXA PAPELAO TROPICAL MARIA CST 401 X 401 X 206 MM 6,4KG;UN;EMBALAGEM;;;;;;
20792;FOLHAS SEPARADORAS TROPICAL MARIA 1,20 X 1,00 M;UN;EMBALAGEM;;;;;;
20795;ABACAXI PETRUZ LIO SR CNSA 1,5 KG;KG;P.A. FRUTAS EM PO;;;;;;
20797;POTE PAPEL ACAI TROPICAL MARIA CST 100G;UN;EMBALAGEM;;;;;;
20807;EXPRESS RELEASE FEE;UN;SERVICOS GERAIS;;;;;;
20818;PAR ESCOVA CARVAO POLITRIZ GPO 14 CE;UN;MATERIAL MANUTENCAO;;;;;;
20827;CHAPA ALUMINIO XADREZ 3 X 1 X 1.5MM;UN;MATERIAL MANUTENCAO;;;;;;
20852;TELEX RELEASE FEE;UN;SERVICOS GERAIS;;;;;;
20858;MOLA TRACAO N1 PC3842;UN;MATERIAL MANUTENCAO;;;;;;
20859;MOLA TRACAO N2 PC3841;UN;MATERIAL MANUTENCAO;;;;;;
20861;CUPUACU PETRUZ LIO SR CPSA 2KG;KG;P.A. FRUTAS EM PO;;;;;;
20869;BATERIA LITIO 3V CR2032;UN;MATERIAL MANUTENCAO;;;;;;
20870;CHAPA MADEIRITE 20MM;UN;MATERIAL MANUTENCAO;;;;;;
20874;ANEL CENTRIFUGADOR 5066417;UN;MATERIAL MANUTENCAO;;;;;;
20881;ROTOR BNM 038 NDB 4977042;UN;MATERIAL MANUTENCAO;;;;;;
20882;PRISIONEIRO 508925;UN;MATERIAL MANUTENCAO;;;;;;
20883;PINO CILINDRICO 868665;UN;MATERIAL MANUTENCAO;;;;;;
20884;ANEL APERTO 877621;UN;MATERIAL MANUTENCAO;;;;;;
20885;ANEL 516528;UN;MATERIAL MANUTENCAO;;;;;;
20886;ANEL 516555;UN;MATERIAL MANUTENCAO;;;;;;
